,Cluster Average,Number of node sample,Feature,Path
25,6.114505400083682,8024,81,"[('Roll / Spin and Move', 0), ('Solo / Solitaire Game', 0), ('Simulation', 0), ('Variable Player Powers', 0), ('Hexagon Grid', 0), ('Worker Placement', 0), ('Deck, Bag, and Pool Building', 0), ('Cooperative Game', 0), ('Area Majority / Influence', 0), ('Network and Route Building', 0), ('End Game Bonuses', 0), ('Open Drafting', 0), ('Grid Movement', 0)]"
26,6.508799823759772,348,-2,"[('Roll / Spin and Move', 0), ('Solo / Solitaire Game', 0), ('Simulation', 0), ('Variable Player Powers', 0), ('Hexagon Grid', 0), ('Worker Placement', 0), ('Deck, Bag, and Pool Building', 0), ('Cooperative Game', 0), ('Area Majority / Influence', 0), ('Network and Route Building', 0), ('End Game Bonuses', 0), ('Open Drafting', 0), ('Grid Movement', 1)]"
27,6.110567806368028,7994,3,"[('Roll / Spin and Move', 0), ('Solo / Solitaire Game', 0), ('Simulation', 0), ('Variable Player Powers', 0), ('Hexagon Grid', 0), ('Worker Placement', 0), ('Deck, Bag, and Pool Building', 0), ('Cooperative Game', 0), ('Area Majority / Influence', 0), ('Network and Route Building', 0), ('End Game Bonuses', 0), ('Open Drafting', 0), ('Grid Movement', 0), ('Market', 0)]"
28,7.163742872186837,30,-2,"[('Roll / Spin and Move', 0), ('Solo / Solitaire Game', 0), ('Simulation', 0), ('Variable Player Powers', 0), ('Hexagon Grid', 0), ('Worker Placement', 0), ('Deck, Bag, and Pool Building', 0), ('Cooperative Game', 0), ('Area Majority / Influence', 0), ('Network and Route Building', 0), ('End Game Bonuses', 0), ('Open Drafting', 0), ('Grid Movement', 0), ('Market', 1)]"
29,5.3480226086447376,814,12,"[('Roll / Spin and Move', 1), ('Dice Rolling', 0)]"
30,5.752631133915559,269,-2,"[('Roll / Spin and Move', 1), ('Dice Rolling', 1)]"
31,6.775629679238758,1702,22,"[('Roll / Spin and Move', 0), ('Solo / Solitaire Game', 0), ('Simulation', 0), ('Variable Player Powers', 1), ('Card Play Conflict Resolution', 0)]"
32,7.59920999839909,47,-2,"[('Roll / Spin and Move', 0), ('Solo / Solitaire Game', 0), ('Simulation', 0), ('Variable Player Powers', 1), ('Card Play Conflict Resolution', 1)]"
33,6.103160531468078,7881,41,"[('Roll / Spin and Move', 0), ('Solo / Solitaire Game', 0), ('Simulation', 0), ('Variable Player Powers', 0), ('Hexagon Grid', 0), ('Worker Placement', 0), ('Deck, Bag, and Pool Building', 0), ('Cooperative Game', 0), ('Area Majority / Influence', 0), ('Network and Route Building', 0), ('End Game Bonuses', 0), ('Open Drafting', 0), ('Grid Movement', 0), ('Market', 0), ('Campaign / Battle Card Driven', 0)]"
34,6.627176067309991,113,-2,"[('Roll / Spin and Move', 0), ('Solo / Solitaire Game', 0), ('Simulation', 0), ('Variable Player Powers', 0), ('Hexagon Grid', 0), ('Worker Placement', 0), ('Deck, Bag, and Pool Building', 0), ('Cooperative Game', 0), ('Area Majority / Influence', 0), ('Network and Route Building', 0), ('End Game Bonuses', 0), ('Open Drafting', 0), ('Grid Movement', 0), ('Market', 0), ('Campaign / Battle Card Driven', 1)]"
35,6.581024132842649,676,-2,"[('Roll / Spin and Move', 0), ('Solo / Solitaire Game', 0), ('Simulation', 0), ('Variable Player Powers', 0), ('Hexagon Grid', 0), ('Worker Placement', 0), ('Deck, Bag, and Pool Building', 0), ('Cooperative Game', 1), ('Scenario / Mission / Campaign Game', 0)]"
36,7.471511,40,113,"[('Roll / Spin and Move', 0), ('Solo / Solitaire Game', 0), ('Simulation', 0), ('Variable Player Powers', 0), ('Hexagon Grid', 0), ('Worker Placement', 0), ('Deck, Bag, and Pool Building', 0), ('Cooperative Game', 1), ('Scenario / Mission / Campaign Game', 1)]"
37,6.099073133889864,7846,113,"[('Roll / Spin and Move', 0), ('Solo / Solitaire Game', 0), ('Simulation', 0), ('Variable Player Powers', 0), ('Hexagon Grid', 0), ('Worker Placement', 0), ('Deck, Bag, and Pool Building', 0), ('Cooperative Game', 0), ('Area Majority / Influence', 0), ('Network and Route Building', 0), ('End Game Bonuses', 0), ('Open Drafting', 0), ('Grid Movement', 0), ('Market', 0), ('Campaign / Battle Card Driven', 0), ('Variable Set-up', 0)]"
38,7.019438285714287,35,-2,"[('Roll / Spin and Move', 0), ('Solo / Solitaire Game', 0), ('Simulation', 0), ('Variable Player Powers', 0), ('Hexagon Grid', 0), ('Worker Placement', 0), ('Deck, Bag, and Pool Building', 0), ('Cooperative Game', 0), ('Area Majority / Influence', 0), ('Network and Route Building', 0), ('End Game Bonuses', 0), ('Open Drafting', 0), ('Grid Movement', 0), ('Market', 0), ('Campaign / Battle Card Driven', 0), ('Variable Set-up', 1)]"
39,6.723752958182435,1461,38,"[('Roll / Spin and Move', 0), ('Solo / Solitaire Game', 0), ('Simulation', 0), ('Variable Player Powers', 1), ('Card Play Conflict Resolution', 0), ('Grid Movement', 0)]"
40,7.09011884713618,241,112,"[('Roll / Spin and Move', 0), ('Solo / Solitaire Game', 0), ('Simulation', 0), ('Variable Player Powers', 1), ('Card Play Conflict Resolution', 0), ('Grid Movement', 1)]"
41,6.095704527543502,7820,2,"[('Roll / Spin and Move', 0), ('Solo / Solitaire Game', 0), ('Simulation', 0), ('Variable Player Powers', 0), ('Hexagon Grid', 0), ('Worker Placement', 0), ('Deck, Bag, and Pool Building', 0), ('Cooperative Game', 0), ('Area Majority / Influence', 0), ('Network and Route Building', 0), ('End Game Bonuses', 0), ('Open Drafting', 0), ('Grid Movement', 0), ('Market', 0), ('Campaign / Battle Card Driven', 0), ('Variable Set-up', 0), ('Deck Construction', 0)]"
42,7.112246273452158,26,-2,"[('Roll / Spin and Move', 0), ('Solo / Solitaire Game', 0), ('Simulation', 0), ('Variable Player Powers', 0), ('Hexagon Grid', 0), ('Worker Placement', 0), ('Deck, Bag, and Pool Building', 0), ('Cooperative Game', 0), ('Area Majority / Influence', 0), ('Network and Route Building', 0), ('End Game Bonuses', 0), ('Open Drafting', 0), ('Grid Movement', 0), ('Market', 0), ('Campaign / Battle Card Driven', 0), ('Variable Set-up', 0), ('Deck Construction', 1)]"
43,6.086472502460936,7630,11,"[('Roll / Spin and Move', 0), ('Solo / Solitaire Game', 0), ('Simulation', 0), ('Variable Player Powers', 0), ('Hexagon Grid', 0), ('Worker Placement', 0), ('Deck, Bag, and Pool Building', 0), ('Cooperative Game', 0), ('Area Majority / Influence', 0), ('Network and Route Building', 0), ('End Game Bonuses', 0), ('Open Drafting', 0), ('Grid Movement', 0), ('Market', 0), ('Campaign / Battle Card Driven', 0), ('Variable Set-up', 0), ('Deck Construction', 0), ('Action Points', 0)]"
44,6.46644321901694,190,-2,"[('Roll / Spin and Move', 0), ('Solo / Solitaire Game', 0), ('Simulation', 0), ('Variable Player Powers', 0), ('Hexagon Grid', 0), ('Worker Placement', 0), ('Deck, Bag, and Pool Building', 0), ('Cooperative Game', 0), ('Area Majority / Influence', 0), ('Network and Route Building', 0), ('End Game Bonuses', 0), ('Open Drafting', 0), ('Grid Movement', 0), ('Market', 0), ('Campaign / Battle Card Driven', 0), ('Variable Set-up', 0), ('Deck Construction', 0), ('Action Points', 1)]"
45,6.073124025772264,7258,45,"[('Roll / Spin and Move', 0), ('Solo / Solitaire Game', 0), ('Simulation', 0), ('Variable Player Powers', 0), ('Hexagon Grid', 0), ('Worker Placement', 0), ('Deck, Bag, and Pool Building', 0), ('Cooperative Game', 0), ('Area Majority / Influence', 0), ('Network and Route Building', 0), ('End Game Bonuses', 0), ('Open Drafting', 0), ('Grid Movement', 0), ('Market', 0), ('Campaign / Battle Card Driven', 0), ('Variable Set-up', 0), ('Deck Construction', 0), ('Action Points', 0), ('Team-Based Game', 0)]"
46,6.346911329896938,372,153,"[('Roll / Spin and Move', 0), ('Solo / Solitaire Game', 0), ('Simulation', 0), ('Variable Player Powers', 0), ('Hexagon Grid', 0), ('Worker Placement', 0), ('Deck, Bag, and Pool Building', 0), ('Cooperative Game', 0), ('Area Majority / Influence', 0), ('Network and Route Building', 0), ('End Game Bonuses', 0), ('Open Drafting', 0), ('Grid Movement', 0), ('Market', 0), ('Campaign / Battle Card Driven', 0), ('Variable Set-up', 0), ('Deck Construction', 0), ('Action Points', 0), ('Team-Based Game', 1)]"
47,6.886194276667517,1392,4,"[('Roll / Spin and Move', 0), ('Solo / Solitaire Game', 0), ('Simulation', 1), ('Campaign / Battle Card Driven', 0)]"
48,7.412745182513224,100,-2,"[('Roll / Spin and Move', 0), ('Solo / Solitaire Game', 0), ('Simulation', 1), ('Campaign / Battle Card Driven', 1)]"
49,6.063055797011371,7047,8,"[('Roll / Spin and Move', 0), ('Solo / Solitaire Game', 0), ('Simulation', 0), ('Variable Player Powers', 0), ('Hexagon Grid', 0), ('Worker Placement', 0), ('Deck, Bag, and Pool Building', 0), ('Cooperative Game', 0), ('Area Majority / Influence', 0), ('Network and Route Building', 0), ('End Game Bonuses', 0), ('Open Drafting', 0), ('Grid Movement', 0), ('Market', 0), ('Campaign / Battle Card Driven', 0), ('Variable Set-up', 0), ('Deck Construction', 0), ('Action Points', 0), ('Team-Based Game', 0), ('Paper-and-Pencil', 0)]"
50,6.409383779696505,211,-2,"[('Roll / Spin and Move', 0), ('Solo / Solitaire Game', 0), ('Simulation', 0), ('Variable Player Powers', 0), ('Hexagon Grid', 0), ('Worker Placement', 0), ('Deck, Bag, and Pool Building', 0), ('Cooperative Game', 0), ('Area Majority / Influence', 0), ('Network and Route Building', 0), ('End Game Bonuses', 0), ('Open Drafting', 0), ('Grid Movement', 0), ('Market', 0), ('Campaign / Battle Card Driven', 0), ('Variable Set-up', 0), ('Deck Construction', 0), ('Action Points', 0), ('Team-Based Game', 0), ('Paper-and-Pencil', 1)]"
51,6.03276910103912,5608,43,"[('Roll / Spin and Move', 0), ('Solo / Solitaire Game', 0), ('Simulation', 0), ('Variable Player Powers', 0), ('Hexagon Grid', 0), ('Worker Placement', 0), ('Deck, Bag, and Pool Building', 0), ('Cooperative Game', 0), ('Area Majority / Influence', 0), ('Network and Route Building', 0), ('End Game Bonuses', 0), ('Open Drafting', 0), ('Grid Movement', 0), ('Market', 0), ('Campaign / Battle Card Driven', 0), ('Variable Set-up', 0), ('Deck Construction', 0), ('Action Points', 0), ('Team-Based Game', 0), ('Paper-and-Pencil', 0), ('Hand Management', 0)]"
52,6.181087618423744,1439,26,"[('Roll / Spin and Move', 0), ('Solo / Solitaire Game', 0), ('Simulation', 0), ('Variable Player Powers', 0), ('Hexagon Grid', 0), ('Worker Placement', 0), ('Deck, Bag, and Pool Building', 0), ('Cooperative Game', 0), ('Area Majority / Influence', 0), ('Network and Route Building', 0), ('End Game Bonuses', 0), ('Open Drafting', 0), ('Grid Movement', 0), ('Market', 0), ('Campaign / Battle Card Driven', 0), ('Variable Set-up', 0), ('Deck Construction', 0), ('Action Points', 0), ('Team-Based Game', 0), ('Paper-and-Pencil', 0), ('Hand Management', 1)]"
53,6.027822520954425,5577,115,"[('Roll / Spin and Move', 0), ('Solo / Solitaire Game', 0), ('Simulation', 0), ('Variable Player Powers', 0), ('Hexagon Grid', 0), ('Worker Placement', 0), ('Deck, Bag, and Pool Building', 0), ('Cooperative Game', 0), ('Area Majority / Influence', 0), ('Network and Route Building', 0), ('End Game Bonuses', 0), ('Open Drafting', 0), ('Grid Movement', 0), ('Market', 0), ('Campaign / Battle Card Driven', 0), ('Variable Set-up', 0), ('Deck Construction', 0), ('Action Points', 0), ('Team-Based Game', 0), ('Paper-and-Pencil', 0), ('Hand Management', 0), ('Area-Impulse', 0)]"
54,6.922674814990512,31,-2,"[('Roll / Spin and Move', 0), ('Solo / Solitaire Game', 0), ('Simulation', 0), ('Variable Player Powers', 0), ('Hexagon Grid', 0), ('Worker Placement', 0), ('Deck, Bag, and Pool Building', 0), ('Cooperative Game', 0), ('Area Majority / Influence', 0), ('Network and Route Building', 0), ('End Game Bonuses', 0), ('Open Drafting', 0), ('Grid Movement', 0), ('Market', 0), ('Campaign / Battle Card Driven', 0), ('Variable Set-up', 0), ('Deck Construction', 0), ('Action Points', 0), ('Team-Based Game', 0), ('Paper-and-Pencil', 0), ('Hand Management', 0), ('Area-Impulse', 1)]"
55,7.1096881756659185,240,76,"[('Roll / Spin and Move', 0), ('Solo / Solitaire Game', 0), ('Simulation', 0), ('Variable Player Powers', 1), ('Card Play Conflict Resolution', 0), ('Grid Movement', 1), ('Action Timer', 0)]"
56,2.39348,1,-2,"[('Roll / Spin and Move', 0), ('Solo / Solitaire Game', 0), ('Simulation', 0), ('Variable Player Powers', 1), ('Card Play Conflict Resolution', 0), ('Grid Movement', 1), ('Action Timer', 1)]"
57,7.188670417168007,815,-2,"[('Roll / Spin and Move', 0), ('Solo / Solitaire Game', 1), ('Variable Player Powers', 0)]"
58,7.5137056625426,266,-2,"[('Roll / Spin and Move', 0), ('Solo / Solitaire Game', 1), ('Variable Player Powers', 1)]"
59,6.708931259585232,1439,32,"[('Roll / Spin and Move', 0), ('Solo / Solitaire Game', 0), ('Simulation', 0), ('Variable Player Powers', 1), ('Card Play Conflict Resolution', 0), ('Grid Movement', 0), ('End Game Bonuses', 0)]"
60,7.693226789153574,22,-2,"[('Roll / Spin and Move', 0), ('Solo / Solitaire Game', 0), ('Simulation', 0), ('Variable Player Powers', 1), ('Card Play Conflict Resolution', 0), ('Grid Movement', 0), ('End Game Bonuses', 1)]"
61,6.023175150249724,5543,114,"[('Roll / Spin and Move', 0), ('Solo / Solitaire Game', 0), ('Simulation', 0), ('Variable Player Powers', 0), ('Hexagon Grid', 0), ('Worker Placement', 0), ('Deck, Bag, and Pool Building', 0), ('Cooperative Game', 0), ('Area Majority / Influence', 0), ('Network and Route Building', 0), ('End Game Bonuses', 0), ('Open Drafting', 0), ('Grid Movement', 0), ('Market', 0), ('Campaign / Battle Card Driven', 0), ('Variable Set-up', 0), ('Deck Construction', 0), ('Action Points', 0), ('Team-Based Game', 0), ('Paper-and-Pencil', 0), ('Hand Management', 0), ('Area-Impulse', 0), ('Flicking', 0)]"
62,6.785480633191251,34,-2,"[('Roll / Spin and Move', 0), ('Solo / Solitaire Game', 0), ('Simulation', 0), ('Variable Player Powers', 0), ('Hexagon Grid', 0), ('Worker Placement', 0), ('Deck, Bag, and Pool Building', 0), ('Cooperative Game', 0), ('Area Majority / Influence', 0), ('Network and Route Building', 0), ('End Game Bonuses', 0), ('Open Drafting', 0), ('Grid Movement', 0), ('Market', 0), ('Campaign / Battle Card Driven', 0), ('Variable Set-up', 0), ('Deck Construction', 0), ('Action Points', 0), ('Team-Based Game', 0), ('Paper-and-Pencil', 0), ('Hand Management', 0), ('Area-Impulse', 0), ('Flicking', 1)]"
63,6.674302785812538,1320,124,"[('Roll / Spin and Move', 0), ('Solo / Solitaire Game', 0), ('Simulation', 0), ('Variable Player Powers', 1), ('Card Play Conflict Resolution', 0), ('Grid Movement', 0), ('End Game Bonuses', 0), ('Deck, Bag, and Pool Building', 0)]"
64,7.0930454224421515,119,-2,"[('Roll / Spin and Move', 0), ('Solo / Solitaire Game', 0), ('Simulation', 0), ('Variable Player Powers', 1), ('Card Play Conflict Resolution', 0), ('Grid Movement', 0), ('End Game Bonuses', 0), ('Deck, Bag, and Pool Building', 1)]"
65,6.586823452992543,181,81,"[('Roll / Spin and Move', 0), ('Solo / Solitaire Game', 0), ('Simulation', 0), ('Variable Player Powers', 0), ('Hexagon Grid', 0), ('Worker Placement', 0), ('Deck, Bag, and Pool Building', 0), ('Cooperative Game', 0), ('Area Majority / Influence', 0), ('Network and Route Building', 1), ('Stock Holding', 0)]"
66,7.151939276250493,87,-2,"[('Roll / Spin and Move', 0), ('Solo / Solitaire Game', 0), ('Simulation', 0), ('Variable Player Powers', 0), ('Hexagon Grid', 0), ('Worker Placement', 0), ('Deck, Bag, and Pool Building', 0), ('Cooperative Game', 0), ('Area Majority / Influence', 0), ('Network and Route Building', 1), ('Stock Holding', 1)]"
67,6.02049204464435,5531,99,"[('Roll / Spin and Move', 0), ('Solo / Solitaire Game', 0), ('Simulation', 0), ('Variable Player Powers', 0), ('Hexagon Grid', 0), ('Worker Placement', 0), ('Deck, Bag, and Pool Building', 0), ('Cooperative Game', 0), ('Area Majority / Influence', 0), ('Network and Route Building', 0), ('End Game Bonuses', 0), ('Open Drafting', 0), ('Grid Movement', 0), ('Market', 0), ('Campaign / Battle Card Driven', 0), ('Variable Set-up', 0), ('Deck Construction', 0), ('Action Points', 0), ('Team-Based Game', 0), ('Paper-and-Pencil', 0), ('Hand Management', 0), ('Area-Impulse', 0), ('Flicking', 0), ('Line of Sight', 0)]"
68,7.2598632421875005,12,-2,"[('Roll / Spin and Move', 0), ('Solo / Solitaire Game', 0), ('Simulation', 0), ('Variable Player Powers', 0), ('Hexagon Grid', 0), ('Worker Placement', 0), ('Deck, Bag, and Pool Building', 0), ('Cooperative Game', 0), ('Area Majority / Influence', 0), ('Network and Route Building', 0), ('End Game Bonuses', 0), ('Open Drafting', 0), ('Grid Movement', 0), ('Market', 0), ('Campaign / Battle Card Driven', 0), ('Variable Set-up', 0), ('Deck Construction', 0), ('Action Points', 0), ('Team-Based Game', 0), ('Paper-and-Pencil', 0), ('Hand Management', 0), ('Area-Impulse', 0), ('Flicking', 0), ('Line of Sight', 1)]"
69,6.65977004887853,1300,5,"[('Roll / Spin and Move', 0), ('Solo / Solitaire Game', 0), ('Simulation', 0), ('Variable Player Powers', 1), ('Card Play Conflict Resolution', 0), ('Grid Movement', 0), ('End Game Bonuses', 0), ('Deck, Bag, and Pool Building', 0), ('Measurement Movement', 0)]"
70,7.618930686522243,20,-2,"[('Roll / Spin and Move', 0), ('Solo / Solitaire Game', 0), ('Simulation', 0), ('Variable Player Powers', 1), ('Card Play Conflict Resolution', 0), ('Grid Movement', 0), ('End Game Bonuses', 0), ('Deck, Bag, and Pool Building', 0), ('Measurement Movement', 1)]"
71,6.0183278143994166,5523,92,"[('Roll / Spin and Move', 0), ('Solo / Solitaire Game', 0), ('Simulation', 0), ('Variable Player Powers', 0), ('Hexagon Grid', 0), ('Worker Placement', 0), ('Deck, Bag, and Pool Building', 0), ('Cooperative Game', 0), ('Area Majority / Influence', 0), ('Network and Route Building', 0), ('End Game Bonuses', 0), ('Open Drafting', 0), ('Grid Movement', 0), ('Market', 0), ('Campaign / Battle Card Driven', 0), ('Variable Set-up', 0), ('Deck Construction', 0), ('Action Points', 0), ('Team-Based Game', 0), ('Paper-and-Pencil', 0), ('Hand Management', 0), ('Area-Impulse', 0), ('Flicking', 0), ('Line of Sight', 0), ('Multi-Use Cards', 0)]"
72,7.5146225,8,-2,"[('Roll / Spin and Move', 0), ('Solo / Solitaire Game', 0), ('Simulation', 0), ('Variable Player Powers', 0), ('Hexagon Grid', 0), ('Worker Placement', 0), ('Deck, Bag, and Pool Building', 0), ('Cooperative Game', 0), ('Area Majority / Influence', 0), ('Network and Route Building', 0), ('End Game Bonuses', 0), ('Open Drafting', 0), ('Grid Movement', 0), ('Market', 0), ('Campaign / Battle Card Driven', 0), ('Variable Set-up', 0), ('Deck Construction', 0), ('Action Points', 0), ('Team-Based Game', 0), ('Paper-and-Pencil', 0), ('Hand Management', 0), ('Area-Impulse', 0), ('Flicking', 0), ('Line of Sight', 0), ('Multi-Use Cards', 1)]"
73,6.011944849828524,5451,15,"[('Roll / Spin and Move', 0), ('Solo / Solitaire Game', 0), ('Simulation', 0), ('Variable Player Powers', 0), ('Hexagon Grid', 0), ('Worker Placement', 0), ('Deck, Bag, and Pool Building', 0), ('Cooperative Game', 0), ('Area Majority / Influence', 0), ('Network and Route Building', 0), ('End Game Bonuses', 0), ('Open Drafting', 0), ('Grid Movement', 0), ('Market', 0), ('Campaign / Battle Card Driven', 0), ('Variable Set-up', 0), ('Deck Construction', 0), ('Action Points', 0), ('Team-Based Game', 0), ('Paper-and-Pencil', 0), ('Hand Management', 0), ('Area-Impulse', 0), ('Flicking', 0), ('Line of Sight', 0), ('Multi-Use Cards', 0), ('Deduction', 0)]"
74,6.501571423787108,72,-2,"[('Roll / Spin and Move', 0), ('Solo / Solitaire Game', 0), ('Simulation', 0), ('Variable Player Powers', 0), ('Hexagon Grid', 0), ('Worker Placement', 0), ('Deck, Bag, and Pool Building', 0), ('Cooperative Game', 0), ('Area Majority / Influence', 0), ('Network and Route Building', 0), ('End Game Bonuses', 0), ('Open Drafting', 0), ('Grid Movement', 0), ('Market', 0), ('Campaign / Battle Card Driven', 0), ('Variable Set-up', 0), ('Deck Construction', 0), ('Action Points', 0), ('Team-Based Game', 0), ('Paper-and-Pencil', 0), ('Hand Management', 0), ('Area-Impulse', 0), ('Flicking', 0), ('Line of Sight', 0), ('Multi-Use Cards', 0), ('Deduction', 1)]"
75,5.993442920619039,4906,7,"[('Roll / Spin and Move', 0), ('Solo / Solitaire Game', 0), ('Simulation', 0), ('Variable Player Powers', 0), ('Hexagon Grid', 0), ('Worker Placement', 0), ('Deck, Bag, and Pool Building', 0), ('Cooperative Game', 0), ('Area Majority / Influence', 0), ('Network and Route Building', 0), ('End Game Bonuses', 0), ('Open Drafting', 0), ('Grid Movement', 0), ('Market', 0), ('Campaign / Battle Card Driven', 0), ('Variable Set-up', 0), ('Deck Construction', 0), ('Action Points', 0), ('Team-Based Game', 0), ('Paper-and-Pencil', 0), ('Hand Management', 0), ('Area-Impulse', 0), ('Flicking', 0), ('Line of Sight', 0), ('Multi-Use Cards', 0), ('Deduction', 0), ('Tile Placement', 0)]"
76,6.17849616120785,545,-2,"[('Roll / Spin and Move', 0), ('Solo / Solitaire Game', 0), ('Simulation', 0), ('Variable Player Powers', 0), ('Hexagon Grid', 0), ('Worker Placement', 0), ('Deck, Bag, and Pool Building', 0), ('Cooperative Game', 0), ('Area Majority / Influence', 0), ('Network and Route Building', 0), ('End Game Bonuses', 0), ('Open Drafting', 0), ('Grid Movement', 0), ('Market', 0), ('Campaign / Battle Card Driven', 0), ('Variable Set-up', 0), ('Deck Construction', 0), ('Action Points', 0), ('Team-Based Game', 0), ('Paper-and-Pencil', 0), ('Hand Management', 0), ('Area-Impulse', 0), ('Flicking', 0), ('Line of Sight', 0), ('Multi-Use Cards', 0), ('Deduction', 0), ('Tile Placement', 1)]"
